"DATA_YEAR","STATE_NAME","total","pop","white_count","black_count","latino_count","jewish_count","asian_count","arab_count","islamic_count","lgbt_count","perc_total","perc_white","perc_black","perc_latino","perc_jewish","perc_asian","perc_arab","perc_islamic","perc_lgbt"
1991,"Arizona",48,3603,4,23,0,8,2,2,1,0,0.0104597951623447,0.00477326968973747,0.0141538461538462,0,0.0100882723833544,0.00743494423791822,0.0273972602739726,0.1,0
1991,"Arkansas",12,2450,9,3,0,0,0,0,0,0,0.00261494879058618,0.0107398568019093,0.00184615384615385,0,0,0,0,0,0
1991,"California",5,30735,0,2,0,2,1,0,0,0,0.00108956199607758,0,0.00123076923076923,0,0.00252206809583859,0.00371747211895911,0,0,0
1991,"Colorado",128,3319,22,50,11,14,8,2,0,0,0.027892787099586,0.0262529832935561,0.0307692307692308,0.0476190476190476,0.0176544766708701,0.0297397769516729,0.0273972602739726,0,0
1991,"Connecticut",69,3341,11,27,3,12,1,2,0,0,0.0150359555458706,0.013126491646778,0.0166153846153846,0.012987012987013,0.0151324085750315,0.00371747211895911,0.0273972602739726,0,0
1991,"Delaware",29,709,1,5,0,6,0,0,0,0,0.00631945957724995,0.00119331742243437,0.00307692307692308,0,0.00756620428751576,0,0,0,0
1991,"District of Columbia",6,0,1,1,0,2,1,0,0,0,0.00130747439529309,0.00119331742243437,0.000615384615384615,0,0.00252206809583859,0.00371747211895911,0,0,0
1991,"Georgia",23,6265,3,5,0,2,1,1,0,0,0.00501198518195685,0.0035799522673031,0.00307692307692308,0,0.00252206809583859,0.00371747211895911,0.0136986301369863,0,0
1991,"Idaho",33,1035,5,8,10,2,2,3,0,0,0.00719110917411201,0.00596658711217184,0.00492307692307692,0.0432900432900433,0.00252206809583859,0.00743494423791822,0.0410958904109589,0,0
1991,"Illinois",156,11800,46,41,5,16,2,16,1,0,0.0339943342776204,0.0548926014319809,0.0252307692307692,0.0216450216450216,0.0201765447667087,0.00743494423791822,0.219178082191781,0.1,0
1991,"Iowa",89,2821,8,39,3,1,3,0,0,0,0.0193942035301809,0.00954653937947494,0.024,0.012987012987013,0.00126103404791929,0.0111524163568773,0,0,0
1991,"Kansas",6,2580,0,2,0,2,1,0,0,0,0.00130747439529309,0,0.00123076923076923,0,0.00252206809583859,0.00371747211895911,0,0,0
1991,"Maryland",431,4767,102,191,7,49,20,4,0,0,0.0939202440618871,0.121718377088305,0.117538461538462,0.0303030303030303,0.0617906683480454,0.0743494423791822,0.0547945205479452,0,0
1991,"Massachusetts",200,5803,44,45,23,27,33,0,0,0,0.0435824798431031,0.0525059665871122,0.0276923076923077,0.0995670995670996,0.0340479192938209,0.122676579925651,0,0,0
1991,"Minnesota",225,4384,89,57,6,12,23,1,0,0,0.049030289823491,0.106205250596659,0.0350769230769231,0.025974025974026,0.0151324085750315,0.0855018587360595,0.0136986301369863,0,0
1991,"Mississippi",1,2681,1,0,0,0,0,0,0,0,0.000217912399215515,0.00119331742243437,0,0,0,0,0,0,0
1991,"Missouri",136,4993,32,68,2,3,7,0,0,0,0.0296360862933101,0.0381861575178998,0.0418461538461538,0.00865800865800866,0.00378310214375788,0.0260223048327138,0,0,0
1991,"Nevada",16,1237,0,10,3,1,1,0,0,0,0.00348659838744825,0,0.00615384615384615,0.012987012987013,0.00126103404791929,0.00371747211895911,0,0,0
1991,"New Jersey",894,7736,132,340,26,229,87,6,7,0,0.194813684898671,0.157517899761337,0.209230769230769,0.112554112554113,0.288776796973518,0.323420074349442,0.0821917808219178,0.7,0
1991,"New York",943,17914,122,265,53,317,0,0,0,0,0.205491392460231,0.145584725536993,0.163076923076923,0.229437229437229,0.399747793190416,0,0,0,0
1991,"Ohio",80,11061,16,41,1,7,2,4,0,0,0.0174329919372412,0.0190930787589499,0.0252307692307692,0.00432900432900433,0.00882723833543506,0.00743494423791822,0.0547945205479452,0,0
1991,"Oklahoma",99,3173,16,44,3,6,3,13,1,0,0.021573327522336,0.0190930787589499,0.0270769230769231,0.012987012987013,0.00756620428751576,0.0111524163568773,0.178082191780822,0.1,0
1991,"Oregon",296,2967,49,84,35,11,22,11,0,0,0.0645020701677926,0.058472553699284,0.0516923076923077,0.151515151515152,0.0138713745271122,0.0817843866171004,0.150684931506849,0,0
1991,"Pennsylvania",277,12147,76,130,23,23,17,0,0,0,0.0603617345826978,0.0906921241050119,0.08,0.0995670995670996,0.0290037831021438,0.0631970260223048,0,0,0
1991,"Tennessee",1,4787,0,1,0,0,0,0,0,0,0.000217912399215515,0,0.000615384615384615,0,0,0,0,0,0
1991,"Texas",95,16964,14,26,7,26,6,1,0,0,0.020701677925474,0.0167064439140811,0.016,0.0303030303030303,0.0327868852459016,0.0223048327137546,0.0136986301369863,0,0
1991,"Virginia",54,6144,5,28,2,4,3,1,0,0,0.0117672695576378,0.00596658711217184,0.0172307692307692,0.00865800865800866,0.00504413619167718,0.0111524163568773,0.0136986301369863,0,0
1991,"Washington",196,4989,22,79,4,10,19,4,0,0,0.042710830246241,0.0262529832935561,0.0486153846153846,0.0173160173160173,0.0126103404791929,0.0706319702602231,0.0547945205479452,0,0
1991,"Wisconsin",41,4952,8,10,4,1,4,2,0,0,0.00893440836783613,0.00954653937947494,0.00615384615384615,0.0173160173160173,0.00126103404791929,0.0148698884758364,0.0273972602739726,0,0
1992,"Alabama",4,4226,1,3,0,0,0,0,0,0,0.000599970001499925,0.000740740740740741,0.00129757785467128,0,0,0,0,0,0
1992,"Arizona",172,3851,22,69,14,17,8,2,0,0,0.0257987100644968,0.0162962962962963,0.0298442906574394,0.0377358490566038,0.0166666666666667,0.036036036036036,0.0333333333333333,0,0
1992,"Arkansas",38,2463,23,9,1,0,0,0,0,0,0.00569971501424929,0.017037037037037,0.00389273356401384,0.00269541778975741,0,0,0,0,0
1992,"California",77,31701,12,14,1,5,11,1,0,0,0.0115494225288736,0.00888888888888889,0.00605536332179931,0.00269541778975741,0.00490196078431373,0.0495495495495495,0.0166666666666667,0,0
1992,"Colorado",261,3478,35,103,32,18,13,3,1,0,0.0391480425978701,0.0259259259259259,0.0445501730103806,0.0862533692722372,0.0176470588235294,0.0585585585585586,0.05,0.0666666666666667,0
1992,"Connecticut",63,3272,15,12,7,11,2,0,0,0,0.00944952752362382,0.0111111111111111,0.00519031141868512,0.0188679245283019,0.0107843137254902,0.00900900900900901,0,0,0
1992,"Delaware",47,709,6,17,0,1,0,0,0,0,0.00704964751762412,0.00444444444444444,0.00735294117647059,0,0.000980392156862745,0,0,0,0
1992,"District of Columbia",14,0,6,4,0,0,0,0,0,0,0.00209989500524974,0.00444444444444444,0.00173010380622837,0,0,0,0,0,0
1992,"Florida",333,13714,86,111,22,36,1,0,0,0,0.0499475026248688,0.0637037037037037,0.0480103806228374,0.0592991913746631,0.0352941176470588,0.0045045045045045,0,0,0
1992,"Georgia",66,6664,22,12,1,1,2,0,0,0,0.00989950502474876,0.0162962962962963,0.00519031141868512,0.00269541778975741,0.000980392156862745,0.00900900900900901,0,0,0
1992,"Idaho",54,1095,11,16,8,5,2,0,0,0,0.00809959502024899,0.00814814814814815,0.0069204152249135,0.0215633423180593,0.00490196078431373,0.00900900900900901,0,0,0
